H	CreationDate	
1306.61 763.908
1323.62 250
1333.615 750
1350.63 1563.975
1351.63 1500
1382.771 250
1383.773 250
1393.64 580.795
1400.786 1750
1401.786 1000
1433.663 250
1451.678 250
1461.673 750
1462.675 750
1478.69 1684.335
1479.688 1500
1480.688 1000
1495.851 250
1512.866 1000
1513.866 1750
1514.866 1000
1589.851 250
1590.853 250
1609.933 250
1618.863 750
1627.946 1000
1634.88 1629.515
1746.039 250
1747.041 250
1765.053 250
1766.055 250
1774.049 750
1775.051 750
1783.068 1750
1790.9 1724.803
1792.064 1500
1793.064 1000
1847.086 250
1848.088 250
1875.096 750
1876.098 750
1891.91 1580.2
S	14	14	1119.019
Z	2	2237.038
1 250
20.015 1000
52.027 250
80.037 750
81.039 750
88.04 20
97.052 1611.6
98.052 1500
99.052 1000
101.068 20
101.1 20
102.052 20
104.05 20
115.04 250
116.042 250
132.055 1000
133.055 1750
134.055 1000
208.148 250
226.163 250
230.07 250
231.072 250
237.16 750
247.085 1000
253.173 1581.625
321.228 250
339.243 250
345.112 250
349.238 750
350.24 750
361.125 1000
362.125 1750
363.125 1000
366.253 1590.846
367.253 1500
443.178 250
450.27 250
451.272 250
461.193 1750
462.193 1000
479.282 750
495.295 1552.859
544.225 250
561.24 1000
562.24 1750
563.24 1000
607.322 750
624.348 1533.24
657.305 250
675.32 1750
692.392 250
693.394 250
720.402 750
737.417 1703.506
738.417 1500
739.417 1000
804.375 250
805.377 250
823.39 1000
824.464 493.271
859.389 250
860.391 250
877.404 250
888.401 750
901.427 250
902.429 250
904.414 1183.43
905.414 1500
906.414 1000
918.442 1000
919.442 1750
920.442 1000
937.548 490
972.469 250
1001.481 750
1015.467 250
1016.469 250
1017.49 1185.86
1018.494 1500
1032.482 1000
1066.591 480
1073.489 250
1089.502 1000
1090.502 1750
1101.511 250
1102.513 250
1119.526 250
1123.612 510
1129.521 750
1130.523 750
1146.54 1117.97
1148.536 1000
1158.531 250
1159.533 250
1176.546 250
1186.541 750
1187.543 750
1203.56 1014.82
1218.544 1000
1219.544 1750
1220.544 1000
1237.655 520
1272.571 250
1273.573 250
1290.586 250
1300.581 750
1317.6 1044.04
1318.596 1500
1319.596 1000
1331.624 1000
1332.624 1750
1333.624 1000
1334.707 505
1370.625 250
1387.638 250
1398.635 750
1414.65 1046.49
1415.648 1500
1416.648 1000
1481.775 495
1482.607 250
1499.62 1750
1516.693 250
1517.695 250
1534.708 250
1545.705 750
1561.72 1160.26
1594.859 500
1595.687 250
1611.7 1000
1612.7 1750
1613.7 1000
1629.773 250
1630.775 250
1647.788 250
1657.783 750
1674.8 1124.16
1675.798 1500
1724.729 250
1740.742 1000
1741.742 1750
1742.742 1000
1748.835 250
1759.832 750
1775.85 1633.07
1776.845 1500
1777.845 1000
1829.888 250
1830.89 250
1847.903 250
1853.771 250
1870.784 1750
1871.784 1000
1874.91 1536.76
1876.913 1000
1943.928 250
1944.93 250
1961.943 250
1965.849 250
1966.851 250
1971.938 750
1972.94 750
1982.864 1000
1983.864 1750
1984.864 1000
1988.95 1566.08
1990.953 1000
1993 557.592
2059.96 250
2076.973 250
2086.968 750
2087.97 750
2103.98 1646.71
2104.983 1500
2105.983 1000
2121.971 250
2122.973 250
2138.986 1000
2139.986 1750
2172.998 250
2174 250
2201.008 750
2202.01 750
2218.02 1607.85
S	15	15	1190.086
Z	2	2379.172
2.002 250
19.015 1750
20.015 1000
72.037 250
73.039 250
88.04 20
89.052 1000
90.052 1750
101.068 20
101.1 20
102.052 20
104.05 20
139.194 250
140.196 250
156.101 542.887
157.209 250
159.067 250
167.204 750
168.206 750
176.082 1000
177.082 1750
184.119 1126.73
185.219 1500
186.219 1000
246.097 250
247.099 250
265.112 1000
320.208 250
337.115 500.31
338.223 250
348.218 750
349.22 750
365.133 1069.31
366.233 1500
367.233 1000
394.152 1000
395.152 1750
396.152 1000
450.252 250
466.158 500
467.265 250
477.26 750
478.262 750
494.175 1163.24
496.275 1000
540.197 250
541.199 250
558.212 1750
559.212 1000
564.28 250
565.282 250
581.185 522
582.295 250
592.29 750
593.292 750
609.205 1166.79
611.305 1000
669.239 250
670.241 250
677.36 250
678.362 250
694.269 498.22
695.375 250
705.37 750
722.305 999.227
723.385 1500
724.385 1000
770.286 250
787.301 1000
789.301 1000
805.45 250
806.452 250
823.465 250
834.462 750
841.323 250
842.325 250
850.375 1595.085
858.338 1000
860.338 1000
876.487 250
877.489 250
894.502 250
904.497 750
921.412 1510.2
923.512 1000
955.405 250
972.418 1750
973.418 1000
1005.529 250
1023.544 250
1033.539 750
1034.541 750
1050.45 1722.486
1066.59 591.226
1082.493 250
1101.508 1000
1118.609 250
1123.61 529.541
1136.624 250
1146.619 750
1147.621 750
1163.53 1582.621
1165.634 1000
1197.523 250
1198.525 250
1214.538 1000
1215.538 1750
1234.641 250
1237.66 578.88
1262.651 750
1278.56 1578.599
1279.664 1500
1280.664 1000
1310.603 250
1311.605 250
1328.618 1750
1334.71 493.72
1362.731 250
1389.739 750
1406.65 1526.92
1408.754 1000
1439.645 250
1440.647 250
1458.66 1000
1474.809 250
1475.811 250
1481.78 527.097
1492.824 250
1503.821 750
1519.73 1670.12
1520.834 1500
1528.697 1750
1529.697 1000
1545.846 250
1546.848 250
1563.861 250
1573.856 750
1590.8 1522.816
1591.871 1500
1592.871 1000
1594.86 505.296
1639.774 250
1646.893 250
1655.787 1000
1656.787 1750
1657.787 1000
1664.908 250
1674.903 750
1675.905 750
1691.92 1879.417
1752.854 250
1768.867 1000
1770.867 1000
1775.93 739.897
1803.945 750
1820.96 1641.783
1821.96 1500
1867.884 250
1874.94 527.593
1883.897 1000
1884.897 1750
1885.897 1000
1938.995 250
1967.005 750
1984.02 1591.034
1986.02 1000
1988.98 522.514
2012.939 1000
2014.939 1000
2070.035 250
2071.037 250
2099.047 750
2104.01 530.198
2115.06 1511.583
2157.065 250
2158.067 250
2177.939 250
2185.075 750
2186.077 750
2193.952 1000
2194.952 1750
2202.09 1673.585
2204.09 1000
2218.05 553.225
2244.095 250
2262.11 250
2272.105 750
2273.107 750
2289.12 1503.307
2290.12 1500
2291.12 1000
2315.132 250
2316.134 250
2332.1 503.568
2333.147 250
2344.144 750
2360.06 1580.928
S	16	16	1320.874
Z	2	2640.749
1 250
2.002 250
18.015 1000
19.015 1750
20.015 1000
88.04 20
101.068 20
101.1 20
102.052 20
104.05 20
111.096 250
112.098 250
128.095 559.024
129.111 250
139.106 750
140.108 750
156.121 1033.49
157.121 1500
158.121 1000
165.062 250
181.075 1000
182.075 1750
182.133 250
183.135 250
199.132 491.972
200.148 250
210.143 750
211.145 750
227.158 1030.1
228.158 1500
229.158 1000
277.14 250
278.142 250
294.155 1000
295.155 1750
310.191 250
311.193 250
327.191 520.375
328.206 250
338.201 750
355.216 977.251
365.172 250
381.185 1000
383.185 1000
466.313 751.245
467.315 250
483.317 512.097
484.328 250
494.323 750
511.338 1109.25
512.338 1500
527.23 250
528.232 250
544.245 1000
545.245 1750
546.245 1000
581.185 589.203
594.403 250
595.405 250
611.412 590.029
612.418 250
615.262 250
622.413 750
623.415 750
631.275 1000
632.275 1750
633.275 1000
639.428 1045.77
641.428 1000
694.269 589.923
726.439 578.01
727.448 250
737.443 750
743.302 250
744.304 250
754.458 1111.41
761.317 1750
762.317 1000
766.453 250
767.455 250
783.46 589.923
784.468 250
794.463 750
811.478 1100.46
813.478 1000
850.396 551.827
871.392 250
888.407 1000
889.407 1750
890.407 1000
894.543 250
895.545 250
911.555 551.827
912.558 250
921.433 498.248
922.553 750
923.555 750
939.568 1080.34
940.568 1500
941.568 1000
1023.635 250
1039.65 498.248
1040.648 250
1044.595 1000
1045.595 1750
1046.595 1000
1050.64 1271.85
1051.645 750
1067.66 1079.22
1068.658 1500
1115.612 250
1131.625 1000
1132.625 1750
1133.625 1000
1163.56 510.569
1178.821 250
1195.751 510.569
1196.836 250
1206.831 750
1223.75 1116.26
1225.846 1000
1270.798 250
1271.8 250
1278.59 540.919
1288.813 1750
1306.911 250
1307.913 250
1324.926 250
1351.84 1568.229
1352.936 1500
1353.936 1000
1398.888 250
1406.68 490.002
1415.903 1000
1416.903 1750
1417.903 1000
1463.099 250
1481.114 250
1492.111 750
1508.02 1512.072
1519.77 498.22
1551.131 250
1555.076 250
1556.078 250
1568.144 250
1573.091 1750
1578.139 750
1579.141 750
1590.8 492.629
1595.05 1477.717
1596.154 1500
1684.168 250
1691.85 569.43
1700.181 1000
1701.181 1750
1702.181 1000
1706.317 250
1707.319 250
1724.332 250
1734.327 750
1751.11 1637.01
1811.256 250
1812.258 250
1820.89 532.078
1828.271 1000
1829.271 1750
1834.407 250
1852.422 250
1862.417 750
1863.419 750
1868.276 250
1869.278 250
1879.23 1703.248
1880.432 1500
1885.291 1000
1886.291 1750
1887.291 1000
1963.449 250
1964.451 250
1983.306 250
1984.31 750.669
1991.459 750
2000.321 1000
2002.321 1000
2008.27 1679.08
2050.479 250
2051.481 250
2078.489 750
2095.3 1597.63
2097.504 1000
2111.396 250
2112.398 250
2115 551.68
2128.411 1000
2129.411 1750
2202.03 530.493
2213.539 250
2214.541 250
2231.554 250
2241.549 750
2242.551 750
2258.36 1578.543
2260.564 1000
2267.517 250
2268.519 250
2284.532 1000
2289.06 496.696
2318.584 250
2328.579 750
2329.581 750
2345.39 1660.086
2360.1 516.886
2395.575 250
2396.577 250
2412.59 1000
2413.59 1750
2413.649 250
2414.59 1000
2414.651 250
2431.66 1346.591
2441.659 750
2442.661 750
2458.47 1505.932
2459.674 1500
2460.674 1000
2466.612 250
2483.627 1000
2484.627 1750
2485.627 1000
2576.709 250
2577.711 250
2605.721 750
2621.53 1642.456

































